step,checkpoint,agent,sims,num_games,a_win_rate,b_win_rate,draw_rate,mean_a_score,mean_b_score,mean_margin,ci95
100,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_000100,greedy,,256,0.02,0.977,0.004,80.75,162.24,-81.49,0.01715
200,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_000200,greedy,,256,0.07,0.926,0.004,102.67,162.24,-59.57,0.031255509514324036
300,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_000300,greedy,,256,0.082,0.914,0.004,106.96,162.24,-55.28,0.033609678293610605
400,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_000400,greedy,,256,0.09,0.902,0.008,108.46,162.24,-53.79,0.035057265652072754
500,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_000500,greedy,,256,0.105,0.891,0.004,110.21,162.24,-52.03,0.03755279408712486
600,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_000600,greedy,,256,0.156,0.84,0.004,114.69,162.24,-47.55,0.04444977952701228
700,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_000700,greedy,,256,0.145,0.855,0.0,115.66,162.24,-46.58,0.043132352634072724
800,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_000800,greedy,,256,0.145,0.852,0.004,116.72,162.24,-45.52,0.043132352634072724
900,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_000900,greedy,,256,0.141,0.852,0.008,116.85,162.24,-45.39,0.04263264000446137
1000,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_001000,greedy,,256,0.164,0.832,0.004,119.07,162.24,-43.18,0.04535875769903757
1100,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_001100,greedy,,256,0.191,0.801,0.008,120.17,162.24,-42.07,0.04815340843336014
1200,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_001200,greedy,,256,0.184,0.812,0.004,121.23,162.24,-41.01,0.04746681367018435
1300,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_001300,greedy,,256,0.18,0.809,0.012,121.25,162.24,-41.0,0.04706296314513144
1400,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_001400,greedy,,256,0.18,0.812,0.008,120.88,162.24,-41.37,0.04706296314513144
1500,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_001500,greedy,,256,0.191,0.805,0.004,121.3,162.24,-40.94,0.04815340843336014
1600,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_001600,greedy,,256,0.211,0.781,0.008,123.06,162.24,-39.18,0.04998225178750953
1700,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_001700,greedy,,256,0.199,0.797,0.004,121.26,162.24,-40.98,0.04890788529214895
1800,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_001800,greedy,,256,0.23,0.754,0.016,126.32,162.24,-35.92,0.051551982260626995
1900,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_001900,greedy,,256,0.23,0.766,0.004,126.35,162.24,-35.89,0.051551982260626995
2000,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_002000,greedy,,256,0.207,0.785,0.008,125.06,162.24,-37.18,0.04963155189745733
2100,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_002100,greedy,,256,0.223,0.762,0.016,126.85,162.24,-35.39,0.05099164582311499
2200,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_002200,greedy,,256,0.238,0.75,0.012,126.8,162.24,-35.45,0.052167743625731025
2300,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_002300,greedy,,256,0.238,0.746,0.016,126.39,162.24,-35.86,0.052167743625731025
2400,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_002400,greedy,,256,0.227,0.766,0.008,125.64,162.73,-37.09,0.051314341988863116
